"id","item_group_id","title","description","link","image_link","availability","price","condition","brand","mpn","identifier_exists","google_product_category","product_type","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","shipping_weight","shipping_length","shipping_width","shipping_height","return_policy_label"
"STRATEGY-2913","","Strategy Metal Decor by Meyerdirk Art","The thought behind Strategy Metal Decor by Meyerdirk Art is that hey say that a dream become a goal when you make a step-by-step plan on how to reach it. Taking one step at a time will eventually lead to you realizing your dream. Inspired by that thought, this wall sculpture captures the process of turning abstract ideas, represented by the polished silver background panel, into clear actionable steps, which are the colorful panels. There are several colors to choose from to match your existing interior style. Inspire yourself to make logical choices towards your dreams with this unique wall art. Get one today and hang it in your study or office!","https://brakebee.com/products/4103","https://api.brakebee.com/temp_images/products/1234568006-4103-1762470595417-253930567.jpeg","out of stock","161.00 USD","new","Meyerdirk Art","","no","","","","","","","","8.00 lbs","29.00 in","17.00 in","3.00 in","30_days"
"THECARPENTER-2931","","The Carpenter Metal Decor by Meyerdirk Art","This beautiful wall sculpture features several geometric shapes that come together to form a one-of-a-kind masterpiece called The Carpenter Metal Decor by Meyerdirk Art. The metallic silver background panel works well to highlight the colorful circle and rectangles, forming a shape that resembles a hammer. You can choose among several brilliant colors to fit your taste and interior style. This piece will look great in your bedroom, study, or living room. All parts are carefully crafted with high-quality steel so you can enjoy this piece for a long time. Whether you use this as a centerpiece or as a complement to your current wall decor, The Carpenter will surely add interest and character to your space. Add one to your cart today!","https://brakebee.com/products/4104","https://api.brakebee.com/temp_images/products/1234568006-4104-1762470597824-270592352.jpeg","out of stock","225.00 USD","new","Meyerdirk Art","","no","","","","","","","","11.25 lbs","40.00 in","18.00 in","8.00 in","30_days"
"WILLOW-3005","","Willow Metal Decor Set by Meyerdirk Art","A calmly flowing river represents joy, peace, and prosperity. This tranquil artwork translates those qualities into a beautiful metallic wall hanging called Willow Metal Decor Set by Meyerdirk Art. Created with quality and durability in mind, this set of three panels feature a gentle curve that come together to form flowing water. You can space them apart or hang them close together depending on what your space allows. You can choose among several colors to fit your interior style. The neutral metallic hue in the background makes it versatile and makes it easy to blend in with your existing decor. Add one to your cart today.","https://brakebee.com/products/4105","https://api.brakebee.com/temp_images/products/1234568006-4105-1762470598384-1386944.jpeg","out of stock","305.00 USD","new","Meyerdirk Art","","no","","","","","","","","8.40 lbs","36.00 in","12.00 in","4.00 in","30_days"
"HOLYSTIX-3024","","Holy Stix Metal Decor by Meyerdirk Art","They say art is an expression of one’s thoughts, emotions and desire. No matter how simple and minimalist the Holy Stix Metal Decor by Meyerdirk Art may be, you can see the depth of the meaning of this beautiful piece of art.  Better when together: this exquisite art looks good alone, but great when you match them with several other Holy Stix.  With varying colors to choose from, this wall art will bring color and life to your space so that you will get to enjoy them while you relax. There is no time to wait. Grab a Holy Stix now, or better yet, get more than one!","https://brakebee.com/products/4106","https://api.brakebee.com/temp_images/products/1234568006-4106-1762470599641-479362035.jpeg","out of stock","117.25 USD","new","Meyerdirk Art","","no","","","","","","","","6.25 lbs","29.00 in","17.00 in","3.00 in","30_days"
"ONTARGET-3044","","On Target Metal Decor by Meyerdirk Art","Always be on point, just like how the curved arrowhead pushes its way towards the center of the circle. Observe how the artist plays on the various shapes in order to create a modern minimalist artwork.  On Target Metal Decor by Meyerdirk Art contrasts with a plain wall because of its fun and vibrant colors surrounded by a copper circle. It will definitely pop out from the rest of the room. Bring home this superb piece of art and hang it on your wall today!","https://brakebee.com/products/4107","https://api.brakebee.com/temp_images/products/1234568006-4107-1762470601127-507094820.jpeg","out of stock","190.00 USD","new","Meyerdirk Art","","no","","","","","","","","7.50 lbs","34.00 in","21.00 in","6.00 in","30_days"
"TRY-3056","","Try Metal Decor by Meyerdirk Art","Is your room looking a little bland? Add a fun pop of color with these brilliant Try Metal Decor by Meyerdirk Art! Three different sized circles cluster together to make this interesting artwork. Sometimes a symbol of the universe and life, the circle is often known to represent completeness and eternity. With the vivid candy colors and neutral metallic hues, we hope that this sculpture could represent eternal joy and peace in your home! Get one for your living room or bedroom or give it as a wonderful present to a friend. There are several colors available to fit your interior style! Add one to your cart right now!","https://brakebee.com/products/4108","https://api.brakebee.com/temp_images/products/1234568006-4108-1762470601922-649435896.jpeg","out of stock","206.75 USD","new","Meyerdirk Art","","no","","","","","","","","7.00 lbs","34.00 in","21.00 in","6.00 in","30_days"
"ARCS-3077","","Arcs Metal Decor Set by Meyerdirk Art","If you are looking for a versatile wall installation, Arcs Metal Decor Set by Meyerdirk Art is what you need! Featuring two black grid arcs with three circles each, it affords you an installation that you can play around with. Mount it in a tight circle, extended S-shape, and more! You can also use the set as borders to a piece de resistance. And available in 11 color variants, you're sure to find one to match the interiors of your space. Get one or more today!","https://brakebee.com/products/4109","https://api.brakebee.com/temp_images/products/1234568006-4109-1762470602737-872494045.jpeg","out of stock","368.00 USD","new","Meyerdirk Art","","no","","","","","","","","14.20 lbs","24.00 in","48.00 in","4.00 in","30_days"
"ARCSCIRCLES-3128","","Arcs Circles Set by Meyerdirk Art","If you love our Arcs metal wall sculpture, but you're thinking of changing your decor a bit?  No need to come up with new wall decor ideas, you can simply change the colored circles to match your new palette with Arcs Circles Set by Meyerdirk Art!
You can choose from 10 different colors of metal circles! You'll definitely find a shade that will perfectly fit with your new decor. Each set includes two rounds of three sizes.
You can get a set for a classic monotone look or you can buy several sets and mix and match! Have fun playing around with colors! Add these colorful circles to your cart right now!","https://brakebee.com/products/4110","https://api.brakebee.com/temp_images/products/1234568006-4110-1762470605147-439964397.jpeg","out of stock","35.00 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"SATCIRCLESET-3180","","Satellite Circles Set by Meyerdirk Art","Are you thinking of changing up the colors of your room? If you have our Satellite Circles wall art, you can adapt its colors by changing the Satellite Circles Set by Meyerdirk Art!
Choose from 10 brilliant metal disc colors. You can stick to one or get several sets so you can mix and match!
Whether you like your home decor to change with the seasons or if your personal taste has changed, these satellite circles will ensure that you have a unique wall decor all the time. Add these to your cart right now!","https://brakebee.com/products/4111","https://api.brakebee.com/temp_images/products/1234568006-4111-1762470606191-354154197.jpeg","out of stock","54.75 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"SIDEWAVECIRCLES-3209","","Sidewave Circles Set by Meyerdirk Art","The Sidewave Circles Set by Meyerdirk Art is sold as a set of five circles, with a total of three unique sizes amongst them. These beautifully compose a variety of configurations in conjunction with the ""Sidewave"" metal wall sculpture. They allow you to get creative with your decorating at home by selecting colors that appeal to your decor and the current season.
For example, you could choose a mix of orange and copper tones for Autumn, and for summer, the yellow and green tones. Or, why not get all of them and coordinate different looks for the Sidewave metal art piece each week, depending on your mood? This gives you the most flexibility when styling.
Crafted from tough steel, there are twelve unique colors for you to choose from, including a selection of bright candy tones and distressed copper.","https://brakebee.com/products/4112","https://api.brakebee.com/temp_images/products/1234568006-4112-1762470607592-294465911.jpeg","out of stock","74.00 USD","new","Meyerdirk Art","","no","","","","","","","","1.40 lbs","10.00 in","10.00 in","3.00 in","30_days"
"PICKUPSTIXSQRS-3235","","Pickup Stix Squares Set by Meyerdirk Art","If you have our wonderful Pickup Stix wall art, don’t worry about it not matching a new interior style or color scheme. With this Pickup Stix Squares Set by Meyerdirk Art, you can easily update the look of your wall sculpture!
Choose among eleven brilliant candy square colors. Each set comes with three squares in different sizes. You can even mix and match several sets of candy squares to create a one-of-a-kind Pickup Stix palette! This way, no matter what design changes you do to your space, you can easily update the sculpture with new squares.
Add a set to your cart right now!","https://brakebee.com/products/4113","https://api.brakebee.com/temp_images/products/1234568006-4113-1762470608863-36995478.jpeg","out of stock","55.25 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"SPRIGCIRCLES-3261","","Sprig Circles Set by Meyerdirk Art","The Sprig Circles Set by Meyerdirk Art is a set of 3 circles crafted from high-quality steel. This set is meant for use with the Sprig metal art sculpture.  The set provides a versatile way for you to get creative with your configurations for the week, season, or year. They can be easily swapped, mixed, and matched to achieve your desired look.
This set of 3 circles included with your chosen color feature one with a 4"" diameter and two with a 3"" diameter. We recommend purchasing several colors so you can mix and match them together for a unique look. Most of our customers enjoy aligning the colors with the particular season theme.  Examples: bright yellow and green tones for the summer and orange/brown tones for the autumn.
The Sprig Circles Metal Art Set comes in a wide range of color choices.","https://brakebee.com/products/4114","https://api.brakebee.com/temp_images/products/1234568006-4114-1762470610136-668707952.jpeg","out of stock","46.25 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"SATSQUARESET-3286","","Satellite Squares Set by Meyerdirk Art","Are you thinking of changing up the colors of your room? If you have our Satellite Squares wall art, you can adapt its colors by changing the Satellite Squares Set by Meyerdirk Art!
Choose from 11 brilliant metal disc colors. You can stick to one or get several sets so you can mix and match!
Whether you like your home decor to change with the seasons or if your personal taste has changed, these satellite squares will ensure that you have a unique wall decor all the time. Add these to your cart right now!","https://brakebee.com/products/4115","https://api.brakebee.com/temp_images/products/1234568006-4115-1762470611409-660609028.jpeg","out of stock","24.00 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"DSOTMSQUARES-3310","","Dark Side of the Moon Squares Set by Meyerdirk Art","If you have our wonderful Dark Side of the Moon wall art, you might want to change the color of the Dark Side of the Moon Squares Set by Meyerdirk Art according to season or a change in interior style. You can easily do that with these candy square sets!
Choose among eight brilliant colors. You can also mix and match several sets to create your own unique palette! No matter what new interior theme you decide on, you can update your Dark Side of the Moon sculpture to match that by simply replacing the candy squares.
Add a set to your cart today!","https://brakebee.com/products/4116","https://api.brakebee.com/temp_images/products/1234568006-4116-1762470612697-984188680.jpeg","out of stock","68.00 USD","new","Meyerdirk Art","","no","","","","","","","","1.50 lbs","10.00 in","10.00 in","3.00 in","30_days"
"MUSICDIAMONDS-3330","","Music Diamonds Metal Decor Set by Meyerdirk Art","A seemingly ordinary stone can turn out to be precious when polished. Musical talent is the same! Inspire musical brilliance in your home with these Music Diamonds Metal Decor Set by Meyerdirk Art! Made with steel layers, this set of three pieces features a reflective diamond back that highlights the intricately made music symbols on top. You can arrange these any way you want - spread them out, line them up, or cluster them together! These will look great in any room. Fill your walls with musical inspiration with these music diamonds. Add a set to your cart right now!","https://brakebee.com/products/4117","https://api.brakebee.com/temp_images/products/1234568006-4117-1762470613972-942078026.jpeg","out of stock","78.00 USD","new","Meyerdirk Art","","no","","","","","","","","5.70 lbs","16.00 in","16.00 in","4.00 in","30_days"
"PICKUPSTIX-3343","","Pickup Stix by Meyerdirk Art","Is there a room in your house that’s feeling a bit empty? Maybe it could use some texture or a splash of color. This interesting wall art is perfect for that, and Pickup Stix by Meyerdirk Art is interesting wall art! Like casually scattered pickup sticks, this wall accessory is simple and elegant yet packs a nice colorful punch that can liven up any empty wall. From minimalist to contemporary to rustic and even bohemian interior styles, this versatile art piece will complement your existing decor well! You can place this in your dining room, living room, bedroom, or even your office to give life to your space. Add one to your cart right now!","https://brakebee.com/products/4118","https://api.brakebee.com/temp_images/products/1234568006-4118-1762470614672-396324527.jpeg","out of stock","70.00 USD","new","Meyerdirk Art","","no","","","","","","","","5.00 lbs","40.00 in","18.00 in","8.00 in","30_days"
"WILLIAMSQUARES-3369","","William Squares Set by Meyerdirk Art","If you’re someone who loves to mix and match your decor, especially at different times throughout the year, then this William Squares Set by Meyerdirk Art (in combination with the William Wall Sculpture) is perfect for you.

There are various colors for you to choose from, including bright candy tones, metallic black, and even distressed copper. This gives you the flexibility to coordinate a design tailored to your current decor theme, mood, or season.

Each piece is made from high-quality steel in the USA, and you receive a set of 5 squares, each of varying sizes. With the William Wall Sculpture, you can use vastly contrasting colors, or create a specific color theme for your preferences. It’s entirely up to you and your creative mind!","https://brakebee.com/products/4119","https://api.brakebee.com/temp_images/products/1234568006-4119-1762470617306-182817613.jpeg","out of stock","29.00 USD","new","Meyerdirk Art","","no","","","","","","","","11.00 lbs","10.00 in","10.00 in","3.00 in","30_days"
"ALIENSHAMAN-3825","","Alien Shaman Metal Decor by Meyerdirk Art","Got a thing for eccentric pieces. Reserve a spot on your wall for this conversation piece called Alien Shaman Metal Decor by Meyerdirk Art! Modern sci-fi meets traditional folklore in this artwork inspired by the mysterious stories of the Southwest. Rightly called the alien shaman, it's an interesting and intriguing juxtaposition of the modern and old mysteries in one crazy entity. Place it in one narrow wall or mount alongside other quirky pieces on a large space. Grab ahold of this peculiar artwork today!","https://brakebee.com/products/4120","https://api.brakebee.com/temp_images/products/1234568006-4120-1762470637982-435476860.jpeg","out of stock","84.00 USD","new","Meyerdirk Art","","no","","","","","","","","5.80 lbs","26.00 in","26.00 in","4.00 in","30_days"
"KOKOJO-3904","","Koko Jo Metal Decor by Meyerdirk Art","Take it back to traditions with the Koko Jo Metal Decor by Meyedirk Art piece, a unique design that would look amazing just about anywhere. The design features a traditional-style man holding an object, reminiscent of bonfires and ceremonial celebrations. The Koko Jo Metal Art piece has a glistening distressed copper finish with beautiful foil accents that come in various color choices, including blue, teal, gold, and green. This metal art, like all of our metal artworks, is made by hand in the USA using quality steel in combination with expert techniques. Whether you want to spice up the look of your home or you’re going for a traditional-ceremonial vibe for a particular room, the Koko Jo Metal Art is a fine choice.","https://brakebee.com/products/4121","https://api.brakebee.com/temp_images/products/1234568006-4121-1762470640855-668354979.jpeg","out of stock","156.00 USD","new","Meyerdirk Art","","no","","","","","","","","5.50 lbs","34.00 in","21.00 in","6.00 in","30_days"
"KOKOPELLIDANCER-3927","","Kokopelli Dancer Metal Decor by Meyerdirk Art","The Kokopelli Dancer Metal Decor by Meyerdirk Art piece was inspired by the Kokopelli – a source of music, inspiration, and joy. This is a tradition in Southwestern folklore.  We’ve recreated the same feeling of joy and music in this metal artwork.  It features a human figure playing an instrument. This is characterized by a long torso and wild strands of hair. The Kokopelli Dancer Metal Art piece is a handmade design, created using quality steel and the hands of experienced metal artisans in the USA. It’s a wonderful monument to hang up at home as an inspiring decoration, and it can immediately transform the mood of a room with its copper-toned color contrasted with your choice of blue, copper, gold, green, red, silver, or teal accents. The traditional and ceremonial style of the Kokopelli Dancer Metal Art piece is perfect for those who admire this theme.","https://brakebee.com/products/4122","https://api.brakebee.com/temp_images/products/1234568006-4122-1762470642153-473760918.jpeg","out of stock","175.00 USD","new","Meyerdirk Art","","no","","","","","","","","6.25 lbs","34.00 in","21.00 in","6.00 in","30_days"
"LIZARD-3961","","Lizard Metal Wall Decor by Meyerdirk Art","This Lizard Metal Wall Decor by Meyerdirk Art is a fantastic way to add a splash of fun character or exotic decoration to a space with its funky style. The design features a lizard with precise cut-out detailing for the skin, feet, and eyes. Accenting the primary copper color is colorful accents, which can be chosen by you. These colors include simple black, vivid red, or ocean teal. Like all of our metal artworks, the Lizard Metal Art is also made from quality steel material. It is handmade in the USA, the product of true artisan talent and a wonderful display on the walls of your home. It's definitely an eye-catching piece that will surely strike up some friendly conversation between your guests.","https://brakebee.com/products/4123","https://api.brakebee.com/temp_images/products/1234568006-4123-1762470644911-947293410.jpeg","out of stock","53.00 USD","new","Meyerdirk Art","","no","","","","","","","","2.00 lbs","24.00 in","12.00 in","4.00 in","30_days"
"LARRYPETRO-3992","","Petroglyph Larry Metal Decor by Meyerdirk Art","The Petroglyph Larry Metal Decor by Meyerdirk Art takes you back through time to an era when these ancient Petroglyphs and cave paintings were first made. Their meaning? We'll leave that up to you to decide. For centuries, people have tried to decipher their meaning and symbolism.  Now you can share the beauty of these petroglyphs in your home! Made of excellent quality steel in the USA, the Petroglyph ""Larry"" is a wonderfully unique decoration. We recommend you try it out several in a room to reflect the same ""cave story"" style that is depicted throughout many ancient caves in the United States. Make your own unique cave story that you can tell your guests who admire the handiwork when they come over for dinner.","https://brakebee.com/products/4124","https://api.brakebee.com/temp_images/products/1234568006-4124-1762470646303-827061260.jpeg","out of stock","177.25 USD","new","Meyerdirk Art","","no","","","","","","","","5.00 lbs","34.00 in","21.00 in","6.00 in","30_days"
"TDIAMONDSS-4035","","Smoke Spirit - Terraced Diamond Metal Decor by Meyerdirk Art","If you’re looking for a Southwest decor in the form of a whimsical creature, this Smoke Spirit - Terraced Diamond Metal Decor by Meyerdirk Art is perfect for you! It is perfect to mix and match with your other whimsical wall decor or it can also be a standout wall decor by itself. This smoke spirit comes in different designs and in various colors so you have a wide array of choices. You can easily pick one or more to mix and match according to your tastes and preferences. This wall decor is made of steel finished with distressed copper giving it its unique vintage look. Grab your own smoke spirit wall decor now!","https://brakebee.com/products/4125","https://api.brakebee.com/temp_images/products/1234568006-4125-1762470648701-239571945.jpeg","out of stock","64.75 USD","new","Meyerdirk Art","","no","","","","","","","","2.75 lbs","29.00 in","17.00 in","3.00 in","30_days"
"SOUTHWESTCROSS-4060","","Southwest Cross Metal Decor by Meyerdirk Art","If you're looking for an amazing wall art to put over your bed, this Southwest Cross Metal Decor by Meyerdirk Art will not disappoint. Made with two layers of steel, the bottom one has a distressed copper finish that frames the top layer nicely, bringing out its intricate details. The top layer has a polished silver finish with colorful foil accents. To bring the whole thing together, two polished copper wires are placed at the center to give the illusion of strings holding the vertical and horizontal pieces together. Whether you get this wall art for yourself or gift it to someone else, it will surely impress. Add one to your cart right now!","https://brakebee.com/products/4126","https://api.brakebee.com/temp_images/products/1234568006-4126-1762470650187-869068704.jpeg","out of stock","98.00 USD","new","Meyerdirk Art","","no","","","","","","","","7.50 lbs","26.00 in","26.00 in","2.00 in","30_days"
"MUSICSYMBOL-4139","","Musical Symbol Metal Decor by Meyerdirk Art","Unleash the melody in your soul with this beautifully crafted Musical Symbol Metal Decor by Meyerdirk Art wall art! Handmade with durability in mind, this musical symbol art piece features a slightly reflective finish that gives it just the right amount of glitter to catch attention. Each one measures over 15 inches, the right size to bring any wall in your home to life! This will look great in your bedroom, living room, or a dedicated music room. If you have friends or family who are a music lover, musician, or music teacher, this would make a great gift for them. Add one or all to your cart right now!","https://brakebee.com/products/4127","https://api.brakebee.com/temp_images/products/1234568006-4127-1762470654949-855588592.jpeg","out of stock","41.00 USD","new","Meyerdirk Art","","no","","","","","","","","1.75 lbs","16.00 in","16.00 in","4.00 in","30_days"
"SCAR-4580","","Scar Metal Decor by Meyerdirk Art","Transform your room into an elegant and classy space with this Scar Metal Decor by Meyerdirk Art wall decor! It features a unique metallic design that’s sure to elevate any space to make it look more aesthetically pleasing! This scar wall decor utilizes candy colored steel and features a polished silver finish so it gives you that stunning metallic look. It comes in a simple rectangular shape and is decorated with a colored wave in the middle. This scar wall decor is available in different colors so you can easily mix and match it to achieve your desired look. Get your own scar wall decor now and hang it on your walls in any direction that you prefer!","https://brakebee.com/products/4128","https://api.brakebee.com/temp_images/products/1234568006-4128-1762470670639-359079969.jpeg","out of stock","154.25 USD","new","Meyerdirk Art","","no","","","","","","","","4.50 lbs","38.00 in","6.00 in","6.00 in","30_days"
